Node 87 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.70, max_time=197 (2)
Node 88 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.70, max_time=194 (2)
Node 89 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.70, max_time=190 (2)
Node 90 final: rounds=10, multicasts=2, min_time=5 (7), avg_time=57.70, max_time=186 (2)
Node 91 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.70, max_time=182 (2)
Node 92 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.70, max_time=186 (2)
Node 93 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.70, max_time=190 (2)
Node 94 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.60, max_time=190 (2)
Node 95 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.60, max_time=190 (2)
Node 96 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.60, max_time=186 (2)
Node 97 final: rounds=10, multicasts=1, min_time=6 (7), avg_time=57.60, max_time=190 (2)
Node 98 final: rounds=10, multicasts=1, min_time=6 (7), avg_time=57.60, max_time=194 (2)
Node 99 final: rounds=10, multicasts=2, min_time=6 (7), avg_time=57.70, max_time=194 (2)
Node 100 final: rounds=10, multicasts=1, min_time=6 (7), avg_time=57.70, max_time=194 (2)
Node 101 final: rounds=10, multicasts=1, min_time=6 (7), avg_time=57.70, max_time=190 (2)
Node 102 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.60, max_time=191 (1)
Node 103 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.60, max_time=191 (1)
Node 104 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.60, max_time=195 (1)
Node 105 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.60, max_time=201 (1)
Node 106 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.60, max_time=208 (1)
Node 107 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.60, max_time=213 (1)
Node 108 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.60, max_time=213 (1)
Node 109 final: rounds=10, multicasts=0, min_time=5 (7), avg_time=57.60, max_time=213 (1)
Node 110 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.60, max_time=213 (1)
Node 111 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.50, max_time=218 (1)
Node 112 final: rounds=10, multicasts=0, min_time=5 (7), avg_time=57.50, max_time=218 (1)
Node 113 final: rounds=10, multicasts=1, min_time=5 (7), avg_time=57.50, max_time=218 (1)
Node 114 final: rounds=10, multicasts=2, min_time=5 (7), avg_time=57.50, max_time=225 (1)
Node 115 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.50, max_time=230 (1)
Node 116 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.50, max_time=230 (1)
Node 117 final: rounds=10, multicasts=1, min_time=5 (9), avg_time=57.60, max_time=230 (1)
Node 118 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.60, max_time=230 (1)
Node 119 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.50, max_time=234 (1)
Node 120 final: rounds=10, multicasts=2, min_time=5 (9), avg_time=57.50, max_time=234 (1)
Node 121 final: rounds=10, multicasts=0, min_time=5 (9), avg_time=57.50, max_time=238 (1)
Node 122 final: rounds=10, multicasts=1, min_time=6 (9), avg_time=57.50, max_time=238 (1)
Node 123 final: rounds=10, multicasts=2, min_time=6 (6), avg_time=57.50, max_time=238 (1)
Node 124 final: rounds=10, multicasts=1, min_time=6 (6), avg_time=57.50, max_time=243 (1)
Node 125 final: rounds=10, multicasts=0, min_time=6 (6), avg_time=57.50, max_time=247 (1)
Node 126 final: rounds=10, multicasts=0, min_time=5 (6), avg_time=57.50, max_time=247 (1)
Node 127 final: rounds=10, multicasts=0, min_time=5 (6), avg_time=57.40, max_time=246 (1)
Node 0 final: rounds=11, multicasts=1, min_time=5 (7), avg_time=53.55, max_time=247 (2)
Node 1 final: rounds=11, multicasts=0, min_time=5 (7), avg_time=53.45, max_time=241 (2)
Node 2 final: rounds=11, multicasts=1, min_time=5 (10), avg_time=53.45, max_time=241 (2)
