Node 17 final: rounds=10, multicasts=2, min_time=7 (10), avg_time=33.60, max_time=110 (2)
Node 19 final: rounds=10, multicasts=1, min_time=7 (10), avg_time=33.60, max_time=109 (2)
Node 20 final: rounds=10, multicasts=2, min_time=7 (10), avg_time=33.60, max_time=107 (2)
Node 18 final: rounds=10, multicasts=1, min_time=7 (10), avg_time=33.60, max_time=106 (2)
Node 21 final: rounds=10, multicasts=0, min_time=6 (10), avg_time=33.60, max_time=109 (2)
Node 22 final: rounds=10, multicasts=1, min_time=6 (10), avg_time=33.60, max_time=109 (2)
Node 23 final: rounds=10, multicasts=2, min_time=7 (10), avg_time=33.70, max_time=105 (2)
Node 24 final: rounds=10, multicasts=1, min_time=7 (10), avg_time=33.70, max_time=101 (2)
Node 25 final: rounds=10, multicasts=1, min_time=7 (10), avg_time=33.70, max_time=97 (2)
Node 26 final: rounds=10, multicasts=1, min_time=7 (10), avg_time=33.70, max_time=100 (2)
Node 27 final: rounds=10, multicasts=2, min_time=6 (10), avg_time=33.70, max_time=96 (2)
Node 28 final: rounds=10, multicasts=0, min_time=6 (10), avg_time=33.70, max_time=100 (2)
Node 29 final: rounds=10, multicasts=0, min_time=6 (10), avg_time=33.70, max_time=100 (2)
Node 30 final: rounds=10, multicasts=2, min_time=6 (10), avg_time=33.70, max_time=100 (2)
Node 31 final: rounds=10, multicasts=0, min_time=6 (10), avg_time=33.60, max_time=99 (2)
Node 32 final: rounds=10, multicasts=2, min_time=7 (9), avg_time=33.70, max_time=99 (2)
Node 33 final: rounds=10, multicasts=2, min_time=7 (9), avg_time=33.70, max_time=97 (2)
Node 34 final: rounds=10, multicasts=0, min_time=7 (9), avg_time=33.70, max_time=97 (2)
Node 35 final: rounds=10, multicasts=1, min_time=7 (9), avg_time=33.70, max_time=97 (2)
Node 36 final: rounds=10, multicasts=0, min_time=7 (9), avg_time=33.70, max_time=94 (2)
Node 37 final: rounds=10, multicasts=1, min_time=7 (9), avg_time=33.70, max_time=94 (2)
Node 38 final: rounds=10, multicasts=2, min_time=7 (9), avg_time=33.60, max_time=94 (2)
Node 39 final: rounds=10, multicasts=1, min_time=6 (9), avg_time=33.60, max_time=90 (2)
Node 40 final: rounds=10, multicasts=0, min_time=7 (9), avg_time=33.70, max_time=88 (1)
Node 41 final: rounds=10, multicasts=0, min_time=7 (9), avg_time=33.70, max_time=88 (1)
Node 42 final: rounds=10, multicasts=1, min_time=7 (9), avg_time=33.70, max_time=88 (1)
Node 43 final: rounds=10, multicasts=3, min_time=7 (9), avg_time=33.70, max_time=88 (1)
Node 44 final: rounds=10, multicasts=2, min_time=7 (9), avg_time=33.70, max_time=91 (1)
Node 45 final: rounds=10, multicasts=0, min_time=7 (9), avg_time=33.70, max_time=95 (1)
Node 46 final: rounds=10, multicasts=1, min_time=7 (9), avg_time=33.70, max_time=95 (1)
Node 47 final: rounds=10, multicasts=2, min_time=7 (9), avg_time=33.70, max_time=97 (1)
Node 48 final: rounds=10, multicasts=2, min_time=6 (9), avg_time=33.70, max_time=99 (1)
Node 49 final: rounds=10, multicasts=1, min_time=6 (9), avg_time=33.70, max_time=103 (1)
Node 50 final: rounds=10, multicasts=1, min_time=6 (9), avg_time=33.70, max_time=103 (1)
Node 51 final: rounds=10, multicasts=2, min_time=6 (9), avg_time=33.70, max_time=106 (1)
Node 52 final: rounds=10, multicasts=0, min_time=7 (9), avg_time=33.70, max_time=109 (1)
Node 53 final: rounds=10, multicasts=2, min_time=7 (9), avg_time=33.70, max_time=110 (1)
Node 54 final: rounds=10, multicasts=3, min_time=7 (7), avg_time=33.70, max_time=112 (1)
Node 55 final: rounds=10, multicasts=0, min_time=7 (7), avg_time=33.60, max_time=114 (1)
Node 56 final: rounds=10, multicasts=2, min_time=7 (7), avg_time=33.70, max_time=115 (1)
Node 57 final: rounds=10, multicasts=1, min_time=6 (9), avg_time=33.70, max_time=118 (1)
